,column_id,display_name,description
305,oardroa,"Obstructive Apnea Index (REM, Non-Supine): (Obstructive apneas with no oxygen desaturation threshold used only with arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
306,avoaroa,Average duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
307,mnoaroa,Minimum duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
308,mxoaroa,Maximum duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
309,oanba,Total number of obstructive apnea in NREM sleep in supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
310,oardnba,"Obstructive Apnea Index (NREM, Supine): (Obstructive apneas with no oxygen desaturation threshold used only with arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
311,avoanba,Average duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
312,mnoanba,Minimum duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
313,mxoanba,Maximum duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
314,oanoa,Total number of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
315,oardnoa,"Obstructive Apnea Index (NREM, Non-Supine): (Obstructive apneas with no oxygen desaturation threshold used only with arousal) / hour of NREM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
316,avoanoa,Average duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
317,mnoanoa,Minimum duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
318,mxoanoa,Maximum duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with no oxygen desaturation threshold used only with arousal from type II polysomnography,
319,mxdrba,Maximum oxygen saturation in REM sleep with arousal in supine position with oxygen desaturation > 0% from type II polysomnography,
320,mxdroa,Maximum oxygen saturation in REM sleep with arousal in non-supine position with oxygen desaturation > 0% from type II polysomnography,
321,mxdnba,Maximum oxygen saturation in NREM sleep with arousal in supine position with oxygen desaturation > 0% from type II polysomnography,
322,mxdnoa,Maximum oxygen saturation in NREM sleep with arousal in non-supine position with oxygen desaturation > 0% from type II polysomnography,
323,avdrba,Average oxygen desaturation for all respiratory events with > 0% desat or arousal in REM sleep in supine position: Apneas with no oxygen desaturation threshold used or with arousal + hypopneas with > 30% flow reduction and > 0% oxygen desaturation or arousal from type II polysomnography,
324,avdroa,Average oxygen desaturation for all respiratory events with > 0% desat or arousal in REM sleep in non-supine position: Apneas with no oxygen desaturation threshold used or with arousal + hypopneas with > 30% flow reduction and > 0% oxygen desaturation or arousal from type II polysomnography,
325,avdnba,Average oxygen desaturation for all respiratory events with > 0% desat or arousal in NREM sleep in supine position: Apneas with no oxygen desaturation threshold used or with arousal + hypopneas with > 30% flow reduction and > 0% oxygen desaturation or arousal from type II polysomnography,
326,avdnoa,Average oxygen desaturation for all respiratory events with > 0% desat or arousal in NREM sleep in non-supine position: Apneas with no oxygen desaturation threshold used or with arousal + hypopneas with > 30% flow reduction and > 0% oxygen desaturation or arousal from type II polysomnography,
327,mndrba,Minimum oxygen saturation in REM sleep with arousal in supine position with oxygen desaturation > 0% from type II polysomnography,
328,mndroa,Minimum oxygen saturation in REM sleep with arousal in non-supine position with oxygen desaturation > 0% from type II polysomnography,
329,mndnba,Minimum oxygen saturation in NREM sleep with arousal in supine position with oxygen desaturation > 0% from type II polysomnography,
330,mndnoa,Minimum oxygen saturation in NREM sleep with arousal in non-supine position with oxygen desaturation > 0% from type II polysomnography,
331,abnoreeg,Polysomnography (PSG) Quality Assessment : Abnormal EEG,Scorer observed abnormal EEG during study.
332,alpdel,Polysomnography (PSG) Quality Assessment (Sleep Heart Health Study Visit Two (SHHS2)): Alpha Intrusion ,Scorer observed alpha intrusion on sleep during study.
333,abnoreye,Polysomnography (PSG) Quality Assessment : Abnormal Eye movements,"Scorer observed abnormal eye movements during study.  Presence of the rhythmical lateral eye movements in Non-REM sleep, or asymmetrical or disconjugate movements. "
334,period,Polysomnography (PSG) Quality Assessment (Sleep Heart Health Study Visit Two (SHHS2)): Periodic breathing (5 min),Scorer observed periodic breathing for a period of at least 5 minutes during study.
335,lgbreath,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Periodic Large Breaths,When very large breaths (one or two) occur periodically (mostly on the inductance channels) between runs of fairly normal breaths for a duration of at least 10 minutes.
336,respscch,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Predominant (>=75%) Channel for Scoring Respiratory.  Variable not used for Sleep Heart Health Study Visit 2 (SHHS).,
337,sleep_latency,Is the sleep latency reliability?,0:  Unreliable 1:Reliable
338,staging1,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Study scored with minimal problems,
339,staging2,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): rapid eye movement sleep (REM)/non-rapid eye movement sleep (NREM) unreliable,
340,staging3,"Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Scored Wake, non-rapid eye movement sleep (NREM), rapid eye movement sleep (REM) only",
341,staging4,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Arousals Unreliable,
342,staging5,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Scored Sleep-Wake only,"When the technical quality of the EEG does not allow distinction between sleep stages, but allows a differentiation between sleep and wake.  The time considered sleep will be marked as Stage 2.  No arousals will be scored for these studies. "
343,staging6,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Staging 6,
344,staging7,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Rapid eye movement sleep (REM) Arousals (only) unreliable,
345,staging8,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Wake-Sleep unreliable,
346,restan1,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Was entire record scored,
347,restan2,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Scoring started after sleep onset, indicate when the recording either started or ended in sleep
348,restan3,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Scoring ended before lights on/awake, indicate when the recording either started or ended in sleep
349,restan4,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Intervening period bad EEG,"""1: Yes"", this indicates more than 30 minutes of the sleep period had either lost or unscorable EEG data"
350,restan5,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Intervening period bad Resp./Oximetry,
351,outliercheck1,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Extreme Values Found,
352,outliercheck2,Polysomnography (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Extreme values remain after review,
353,rdisn,Polysomnogram (PSG) Scoring Notes (Sleep Heart Health Study Visit One (SHHS1)): Respiratory Disturbance Index (RDI) as assessed by scorer - total number of apnea and hypopneas associated with a >=3% desat per hour of sleep.,"The Quality Assessment forms were completed by the scorer during preliminary review of the study, finalized after final scoring"
354,hrembp2,Total number of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
355,rdirbp2,"Hypopnea Index (REM, Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation and with or without arousal) / hour of REM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
356,avhrbp2,Average duration of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal  from type II polysomnography,
357,mnhrbp2,Minimum duration of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
358,mxhrbp2,Maximum duration of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
359,hrop2,Total number of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
360,rdirop2,"Hypopnea Index (REM, Non-Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation and with or without arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
361,avhrop2,Average duration of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal  from type II polysomnography,
362,mnhrop2,Minimum duration of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
363,mxhrop2,Maximum duration of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
364,hnrbp2,Total number of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
365,rdinbp2,"Hypopnea Index (NREM, Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation and with or without arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
366,avhnbp2,Average duration of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal  from type II polysomnography,
367,mnhnbp2,Minimum duration of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
368,mxhnbp2,Maximum duration of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
369,hnrop2,Total number of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
370,rdinop2,"Hypopnea Index (NREM, Non-Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation and with or without arousal) / hour of NREM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
371,avhnop2,Average duration of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal  from type II polysomnography,
372,mnhnop2,Minimum duration of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
373,mxhnop2,Maximum duration of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
374,carbp2,Total number of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
375,cardrbp2,"Central Apnea Index (REM, Supine): (Central apneas with >= 2% oxygen desaturation and with or without arousal) / hour of REM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
376,avcarbp2,Average duration of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
377,mncarbp2,Minimum duration of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
378,mxcarbp2,Maximum duration of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
379,carop2,Total number of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
380,cardrop2,"Central Apnea Index (REM, Non-Supine): (Central apneas with >= 2% oxygen desaturation and with or without arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
381,avcarop2,Average duration of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
382,mncarop2,Minimum duration of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
383,mxcarop2,Maximum duration of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
384,canbp2,Total number of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
385,cardnbp2,"Central Apnea Index (NREM, Supine): (Central apneas with >=2% oxygen desaturation and with or without arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
386,avcanbp2,Average duration of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
387,mncanbp2,Minimum duration of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
388,mxcanbp2,Maximum duration of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
389,canop2,Total number of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
390,cardnop2,Central Apnea Index (NREM): (Central apneas with >= 2% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
391,avcanop2,Average duration of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
392,mncanop2,Minimum duration of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
393,mxcanop2,Maximum duration of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used and with or without arousal from type II polysomnography,
394,oarbp2,Total number of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
395,oardrbp2,"Obstructive Apnea Index (REM, Supine): (Obstructive apneas with >= 2% oxygen desaturation and with or without arousal) / hour of REM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
396,avoarbp2,Average duration of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
397,mnoarbp2,Minimum duration of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
398,mxoarbp2,Maximum duration of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
399,oarop2,Total number of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
400,oardrop2,"Obstructive Apnea Index (REM, Non-Supine): (Obstructive apneas with >= 2% oxygen desaturation and with or without arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
401,avoarop2,Average duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
402,mnoarop2,Minimum duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
403,mxoarop2,Maximum duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
404,oanbp2,Total number of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
405,oardnbp2,"Obstructive Apnea Index (NREM, Supine): (Obstructive apneas with >= 2% oxygen desaturation and with or without arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
406,avoanbp2,Average duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
407,mnoanbp2,Minimum duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
408,mxoanbp2,Maximum duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
409,oanop2,Total number of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
410,oardnop2,"Obstructive Apnea Index (NREM, Non-Supine)): (Obstructive apneas with >= 2% oxygen desaturation and with or without arousal) / hour of NREM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
411,avoanop2,Average duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >2% oxygen desaturation and with or without arousal from type II polysomnography,
412,mnoanop2,Minimum duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
413,mxoanop2,Maximum duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
414,mxdrbp2,Maximum oxygen saturation in REM sleep in supine position with oxygen desaturation >= 2% from type II polysomnography,
415,mxdrop2,Maximum oxygen saturation in REM sleep in non-supine position with oxygen desaturation >= 2% from type II polysomnography,
416,mxdnbp2,Maximum oxygen saturation in NREM sleep in supine position with oxygen desaturation >= 2% from type II polysomnography,
417,mxdnop2,Maximum oxygen saturation in NREM sleep in non-supine position with oxygen desaturation >= 2% from type II polysomnography,
418,avdrbp2,Average oxygen desaturation for all respiratory events with >= 2% desat and with or without arousal in REM sleep in supine position: Apneas with >= 2% oxygen desaturation and with or without arousal + hypopneas with > 30% flow reduction and >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
419,avdrop2,Average oxygen desaturation for all respiratory events with >= 2% desat and with or without arousal in REM sleep in non-supine position: Apneas with >= 2% oxygen desaturation and with or without arousal + hypopneas with > 30% flow reduction and >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
420,avdnbp2,Average oxygen desaturation for all respiratory events with >= 2% desat and with or without arousal in NREM sleep in supine position: Apneas with >= 2% oxygen desaturation and with or without arousal + hypopneas with > 30% flow reduction and >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
421,avdnop2,Average oxygen desaturation for all respiratory events with >= 2% desat and with or without arousal in NREM sleep in non-supine position: Apneas with >= 2% oxygen desaturation and with or without arousal + hypopneas with > 30% flow reduction and >= 2% oxygen desaturation and with or without arousal from type II polysomnography,
422,mndrbp2,Minimum oxygen saturation in REM sleep in supine position with oxygen desaturation >= 2% from type II polysomnography,
423,mndrop2,Minimum oxygen saturation in REM sleep in non-supine position with oxygen desaturation >= 2% from type II polysomnography,
424,mndnbp2,Minimum oxygen saturation in NREM sleep in supine position with oxygen desaturation >= 2% from type II polysomnography,
425,mndnop2,Minimum oxygen saturation in NREM sleep in non-supine position with oxygen desaturation >= 2% from type II polysomnography,
426,hremba2,Total number of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal  from type II polysomnography,
427,rdirba2,"Hypopnea Index (REM, Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation or with arousal) / hour of REM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
428,avhrba2,Average duration of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
429,mnhrba2,Minimum duration of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
430,mxhrba2,Maximum duration of hypopnea in REM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
431,hroa2,Total number of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
432,rdiroa2,"Hypopnea Index (REM, Non-Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation or with arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
433,avhroa2,Average duration of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
434,mnhroa2,Minimum duration of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
435,mxhroa2,Maximum duration of hypopnea in REM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
436,hnrba2,Total number of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
437,rdinba2,"Hypopnea Index (NREM, Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation or with arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
438,avhnba2,Average duration of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
439,mnhnba2,Minimum duration of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
440,mxhnba2,Maximum duration of hypopnea in NREM sleep in supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
441,hnroa2,Total number of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
442,rdinoa2,"Hypopnea Index (NREM, Non-Supine): (Hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation or with arousal) / hour of NREM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
443,avhnoa2,Average duration of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
444,mnhnoa2,Minimum duration of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
445,mxhnoa2,Maximum duration of hypopnea in NREM sleep in non-supine position: Hypopneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
446,carba2,Total number of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
447,cardrba2,"Central Apnea Index (REM, Supine): (Central apneas with >= 2% oxygen desaturation or with arousal) / hour of REM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
448,avcarba2,Average duration of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
449,mncarba2,Minimum duration of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
450,mxcarba2,Maximum duration of central apnea in REM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
451,caroa2,Total number of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
452,cardroa2,"Central Apnea Index (REM, Non-Supine): (Central apneas with >= 2% oxygen desaturation or with arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
453,avcaroa2,Average duration of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
454,mncaroa2,Minimum duration of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
455,mxcaroa2,Maximum duration of central apnea in REM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation threshold used or with arousal from type II polysomnography,
456,canba2,Total number of central apnea in NREM sleep in supine position: Central apneas with >=2% oxygen desaturation or with arousal from type II polysomnography,
457,cardnba2,"Central Apnea Index (NREM, Supine): (Central apneas with >=2% oxygen desaturation or with arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
458,avcanba2,Average duration of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
459,mncanba2,Minimum duration of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
460,mxcanba2,Maximum duration of central apnea in NREM sleep in supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
461,canoa2,Total number of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
462,cardnoa2,"Central Apnea Index (NREM, Non-Supine): (Central apneas with >= 2% oxygen desaturation or with arousal) / hour of NREM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
463,avcanoa2,Average duration of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
464,mncanoa2,Minimum duration of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
465,mxcanoa2,Maximum duration of central apnea in NREM sleep in non-supine position: Central apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
466,oarba2,Total number of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
467,oardrba2,"Obstructive Apnea Index (REM, Supine): (Obstructive apneas with >= 2% oxygen desaturation or with arousal) / hour of REM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
468,avoarba2,Average duration of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
469,mnoarba2,Minimum duration of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
470,mxoarba2,Maximum duration of obstructive apnea in REM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
471,oaroa2,Total number of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
472,oardroa2,"Obstructive Apnea Index (REM, Non-Supine): (Obstructive apneas with >= 2% oxygen desaturation or with arousal) / hour of REM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
473,avoaroa2,Average duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
474,mnoaroa2,Minimum duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
475,mxoaroa2,Maximum duration of obstructive apnea in REM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
476,oanba2,Total number of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
477,oardnba2,"Obstructive Apnea Index (NREM, Supine): (Obstructive apneas with >= 2% oxygen desaturation or with arousal) / hour of NREM sleep in supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
478,avoanba2,Average duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
479,mnoanba2,Minimum duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
480,mxoanba2,Maximum duration of obstructive apnea in NREM sleep in supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
481,oanoa2,Total number of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
482,oardnoa2,"Obstructive Apnea Index (NREM, Non-Supine): (Obstructive apneas with >= 2% oxygen desaturation or with arousal) / hour of NREM sleep in non-supine position from type II polysomnography",Calculated - Summary metric of sleep disordered breathing events
483,avoanoa2,Average duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
484,mnoanoa2,Minimum duration of obstructive apnea in NREM sleep in non-supine position: Obstructive apneas with >= 2% oxygen desaturation or with arousal from type II polysomnography,
